first_name,last_name,full_name,nickname,height,weight,reach,stance,wins,losses,draws
Yusup,Saadulaev,Yusup Saadulaev,Maestro,"5' 6""",135 lbs.,--,,16,4,1
Cameron,Saaiman,Cameron Saaiman,MSP,"5' 8""",135 lbs.,"67.0""",Southpaw,9,3,0
Pete,Sabala,Pete Sabala,,--,135 lbs.,--,,3,15,0
Danny,Sabatello,Danny Sabatello,Italian Gangster,"5' 10""",135 lbs.,"71.0""",Orthodox,9,1,0
Pat,Sabatini,Pat Sabatini,,"5' 8""",145 lbs.,"70.0""",Orthodox,20,5,0
Amir,Sadollah,Amir Sadollah,,"5' 10""",170 lbs.,"75.0""",Orthodox,6,5,0
Nazim,Sadykhov,Nazim Sadykhov,Black Wolf,"5' 10""",155 lbs.,"69.0""",Southpaw,11,1,1
Frankie,Saenz,Frankie Saenz,,"5' 6""",135 lbs.,"66.0""",Orthodox,13,7,0
Saparbeg,Safarov,Saparbeg Safarov,,"6' 1""",185 lbs.,"78.0""",Orthodox,9,3,0
Tarec,Saffiedine,Tarec Saffiedine,Sponge,"5' 10""",170 lbs.,"70.0""",Switch,16,7,0
Jason,Saggo,Jason Saggo,,"5' 11""",155 lbs.,"71.0""",Orthodox,12,4,0
Kiru,Sahota,Kiru Sahota,,"5' 10""",125 lbs.,"73.0""",Orthodox,12,3,0
Tatsuya,Saika,Tatsuya Saika,Yanbo,"6' 0""",155 lbs.,"73.0""",Orthodox,11,5,0
Mridul,Saikia,Mridul Saikia,Crusher,"5' 7""",125 lbs.,"68.0""",Orthodox,8,1,0
Kaushik,Saikumar,Kaushik Saikumar,The Pride of Chennai,--,135 lbs.,--,,5,0,0
Benoit,Saint Denis,Benoit Saint Denis,God of War,"5' 11""",155 lbs.,"73.0""",Southpaw,14,3,0
Ovince,Saint Preux,Ovince Saint Preux,,"6' 3""",205 lbs.,"80.0""",Southpaw,27,18,0
Lukasz,Sajewski,Lukasz Sajewski,Wookie,"5' 8""",155 lbs.,"71.0""",Orthodox,13,3,0
Yukio,Sakaguchi,Yukio Sakaguchi,,"5' 9""",185 lbs.,--,Orthodox,6,7,0
Augusto,Sakai,Augusto Sakai,,"6' 3""",265 lbs.,"77.0""",Orthodox,16,5,1
Alessio,Sakara,Alessio Sakara,Legionarius,"6' 0""",185 lbs.,"72.0""",Orthodox,19,11,0
Wataru,Sakata,Wataru Sakata,,"5' 9""",195 lbs.,--,Southpaw,11,14,0
Gokhan,Saki,Gokhan Saki,The Rebel,"6' 0""",205 lbs.,"73.0""",Orthodox,1,2,0
Kazushi,Sakuraba,Kazushi Sakuraba,The Gracie Hunter,"6' 0""",185 lbs.,--,Southpaw,26,17,1
Hayato,Sakurai,Hayato Sakurai,Mach,"5' 7""",168 lbs.,--,Orthodox,38,13,2
Ryuta,Sakurai,Ryuta Sakurai,,"5' 7""",183 lbs.,--,Orthodox,24,24,6
Justin,Salas,Justin Salas,J-Bomb,"5' 8""",155 lbs.,"70.0""",Southpaw,12,7,0
Ivan,Salaverry,Ivan Salaverry,,"6' 0""",185 lbs.,--,Orthodox,14,9,0
Roman,Salazar,Roman Salazar,El Gallito,"5' 7""",135 lbs.,--,Orthodox,10,6,0
Luis,Saldana,Luis Saldana,,"5' 11""",145 lbs.,"73.0""",Orthodox,16,7,1
John,Salgado,John Salgado,Greco,"5' 10""",170 lbs.,--,,4,8,1
Muslim,Salikhov,Muslim Salikhov,King of Kung Fu,"5' 11""",170 lbs.,"70.0""",Orthodox,22,5,0
Gabriel,Salinas-Jones,Gabriel Salinas-Jones,,"6' 1""",245 lbs.,--,,5,2,1
Brandon,Saling,Brandon Saling,White Steel,"5' 10""",170 lbs.,--,,8,6,0
Quillan,Salkilld,Quillan Salkilld,,"6' 0""",155 lbs.,"75.0""",Orthodox,9,1,0
Sean,Salmon,Sean Salmon,,"5' 10""",185 lbs.,--,Southpaw,18,21,0
Boston,Salmon,Boston Salmon,Boom Boom,"5' 9""",135 lbs.,"69.0""",Southpaw,6,3,0
